date,country,age_group,FirstDose,SecondDose,DoseAdditional1,new_cases,pop,new_cases_per_100k
2020-01-06,Austria,15-24yr,0.0,0.0,0.0,0.0,951576.0325398347,0.0
2020-01-06,Austria,25-49yr,0.0,0.0,0.0,0.0,2998191.5574149457,0.0
2020-01-06,Austria,50-64yr,0.0,0.0,0.0,0.0,1969585.9950411986,0.0
2020-01-06,Austria,65-79yr,0.0,0.0,0.0,0.0,1229052.8435581243,0.0
2020-01-06,Austria,80+yr,0.0,0.0,0.0,0.0,483341.6798258304,0.0
2020-01-06,Austria,<15yr,0.0,0.0,0.0,0.0,1285115.8916200667,0.0
2020-01-06,Austria,ALL,0.0,0.0,0.0,0.0,8916864.0,0.0
2020-01-06,Belgium,15-24yr,0.0,0.0,0.0,0.0,1293400.249019239,0.0
2020-01-06,Belgium,25-49yr,0.0,0.0,0.0,0.0,3736134.0069872173,0.0
2020-01-06,Belgium,50-64yr,0.0,0.0,0.0,0.0,2325507.519284106,0.0
2020-01-06,Belgium,65-79yr,0.0,0.0,0.0,0.0,1567221.9865824075,0.0
2020-01-06,Belgium,80+yr,0.0,0.0,0.0,0.0,655534.4046072016,0.0
2020-01-06,Belgium,<15yr,0.0,0.0,0.0,0.0,1966442.83351983,0.0
2020-01-06,Belgium,ALL,0.0,0.0,0.0,0.0,11544241.0,0.0
2020-01-06,Bulgaria,15-24yr,0.0,0.0,0.0,0.0,613458.3665852072,0.0
2020-01-06,Bulgaria,25-49yr,0.0,0.0,0.0,0.0,2405021.0469882917,0.0
2020-01-06,Bulgaria,50-64yr,0.0,0.0,0.0,0.0,1409069.662384351,0.0
2020-01-06,Bulgaria,65-79yr,0.0,0.0,0.0,0.0,1163241.2367153354,0.0
2020-01-06,Bulgaria,80+yr,0.0,0.0,0.0,0.0,325347.9331119405,0.0
2020-01-06,Bulgaria,<15yr,0.0,0.0,0.0,0.0,1017876.7542148735,0.0
2020-01-06,Bulgaria,ALL,0.0,0.0,0.0,0.0,6934015.0,0.0
2020-01-06,Croatia,15-24yr,0.0,0.0,0.0,0.0,426968.3488357748,0.0
2020-01-06,Croatia,25-49yr,0.0,0.0,0.0,0.0,1313671.858465395,0.0
2020-01-06,Croatia,50-64yr,0.0,0.0,0.0,0.0,858220.7425979893,0.0
2020-01-06,Croatia,65-79yr,0.0,0.0,0.0,0.0,629331.2419313581,0.0
2020-01-06,Croatia,80+yr,0.0,0.0,0.0,0.0,230891.99836253683,0.0
2020-01-06,Croatia,<15yr,0.0,0.0,0.0,0.0,588595.8098069462,0.0
2020-01-06,Croatia,ALL,0.0,0.0,0.0,0.0,4047680.0,0.0
2020-01-06,Cyprus,15-24yr,0.0,0.0,0.0,0.0,167364.0,0.0
2020-01-06,Cyprus,25-49yr,0.0,0.0,0.0,0.0,453357.0,0.0
2020-01-06,Cyprus,50-64yr,0.0,0.0,0.0,0.0,212527.0,0.0
2020-01-06,Cyprus,65-79yr,0.0,0.0,0.0,0.0,134093.00000000006,0.0
2020-01-06,Cyprus,80+yr,0.0,0.0,0.0,0.0,39871.99999999997,0.0
2020-01-06,Cyprus,<15yr,0.0,0.0,0.0,0.0,200148.0,0.0
2020-01-06,Cyprus,ALL,0.0,0.0,0.0,0.0,1207361.0,0.0
2020-01-06,Czechia,15-24yr,0.0,0.0,0.0,0.0,958118.7142380383,0.0
2020-01-06,Czechia,25-49yr,0.0,0.0,0.0,0.0,3906443.9411215875,0.0
2020-01-06,Czechia,50-64yr,0.0,0.0,0.0,0.0,1992919.6929611675,0.0
2020-01-06,Czechia,65-79yr,0.0,0.0,0.0,0.0,1710215.6635335796,0.0
2020-01-06,Czechia,80+yr,0.0,0.0,0.0,0.0,444653.63746295276,0.0
2020-01-06,Czechia,<15yr,0.0,0.0,0.0,0.0,1685506.3506826698,0.0
2020-01-06,Czechia,ALL,0.0,0.0,0.0,0.0,10697858.0,0.0
2020-01-06,Denmark,15-24yr,0.0,0.0,0.0,2.0,717673.4830935374,0.27867826346028335
2020-01-06,Denmark,25-49yr,0.0,0.0,0.0,2.0,1824779.8891100963,0.10960226008274097
2020-01-06,Denmark,50-64yr,0.0,0.0,0.0,0.0,1163651.5244909911,0.0
2020-01-06,Denmark,65-79yr,0.0,0.0,0.0,2.0,901022.0278111727,0.22197015591933345
2020-01-06,Denmark,80+yr,0.0,0.0,0.0,0.0,274820.4553839044,0.0
2020-01-06,Denmark,<15yr,0.0,0.0,0.0,4.0,949456.6201102964,0.42129360260138354
2020-01-06,Denmark,ALL,0.0,0.0,0.0,10.0,5831404.0,0.17148528896300103
2020-01-06,Estonia,15-24yr,0.0,0.0,0.0,0.0,120569.62893647293,0.0
2020-01-06,Estonia,25-49yr,0.0,0.0,0.0,0.0,467148.0578760443,0.0
2020-01-06,Estonia,50-64yr,0.0,0.0,0.0,0.0,251564.30716482556,0.0
2020-01-06,Estonia,65-79yr,0.0,0.0,0.0,0.0,191599.6938801497,0.0
2020-01-06,Estonia,80+yr,0.0,0.0,0.0,0.0,79258.26315365123,0.0
2020-01-06,Estonia,<15yr,0.0,0.0,0.0,0.0,219339.04898885608,0.0
2020-01-06,Estonia,ALL,0.0,0.0,0.0,0.0,1329479.0,0.0
2020-01-06,Finland,15-24yr,0.0,0.0,0.0,0.0,608321.6043407233,0.0
2020-01-06,Finland,25-49yr,0.0,0.0,0.0,0.0,1721760.3853855305,0.0
2020-01-06,Finland,50-64yr,0.0,0.0,0.0,0.0,1075030.4035617686,0.0
2020-01-06,Finland,65-79yr,0.0,0.0,0.0,0.0,936771.8199598258,0.0
